location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,number
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.333333373
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,2.608695745
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,2.142857075
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.333333373
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,2.25
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,2.714285612
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,3
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,2.5
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,2.5
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,3.125
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,3.571428537
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,3.75
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,3.333333254
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,4
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,4.166666508
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,3.5
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,3.714285612
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,3.857142925
TUR,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,3.599999905
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.833333333
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.897435897
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.6875
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,2.270833333
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1.981132075
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.484848485
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.909090909
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,1.8
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,2.242424242
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,2.076923077
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,2.333333333
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,2.285714286
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,2.333333333
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,1.904761905
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.935483871
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.764705882
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,2.263157895
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,2.243902439
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,2
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,2
AUS,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,2.057142857
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,2.787889819
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,2.516237532
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,2.583710834
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,2.792164065
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,2.769820717
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,2.548317149
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.529796988
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,2.281402618
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,2.167938203
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,2.593864508
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,2.7082046
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,2.885031635
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,2.301067008
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,2.79061402
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,2.53708295
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,2.9514576
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,2.879754997
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,3.029422275
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,2.880974141
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,2.707823811
CAN,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,2.853155
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,0.991658391
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,0.995413721
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,0.793161867
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,0.85174769
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,0.803963704
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,0.862306368
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,0.891666667
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,0.826923077
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,1.03030303
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,0.84057971
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1.025
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,1.039473684
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1.068181818
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,0.914893617
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,0.893617021
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.032258065
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.034146341
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.028037383
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,0.745762712
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,0.772727273
IND,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,0.612068966
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1
SAU,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.412050954
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,1.142991092
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,1.505744688
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,1.597838081
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,1.636568626
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,1.462857143
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,1.650406504
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,1.531675766
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,1.856306718
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,1.500973661
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,1.946847016
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,1.496226631
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,1.41213311
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,2.019641797
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,1.868123928
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2010,1.092474706
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2011,1.319725769
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2012,1.738926242
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2013,1.519820494
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2014,1.883811553
MEX,CROPYIELD,SOYBEAN,TONNE_HA,A,2015,1.920317172
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,1995,1.992371334
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,1996,2.089152838
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,1997,2.201504784
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,1998,2.2678592
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,1999,2.116643606
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2000,2.182955099
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2001,2.306299101
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2002,2.306055262
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2003,2.233821014
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2004,2.232789998
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2005,2.291809832
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2006,2.353615293
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2007,2.415115941
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2008,2.281371595
WLD,CROPYIELD,SOYBEAN,TONNE_HA,A,2009,2.250924865
